OD_ORIGIN_AIRPRT_IATA_CD,OD_DESTNTN_AIRPRT_IATA_CD,AIRPORT_NM,OD_DEP_CITY_METRO_CD,OD_ARVL_CITY_METRO_CD,CITY,CNTRY_CD,STATE_PROVNC_CD
MKV,MKV,Mount Cavenagh,MKV,MKV,Mount Cavenagh,AU,NT
MKW,MKW,Rendani,MKW,MKW,Manokwari,ID,
MKY,MKY,Mackay,MKY,MKY,Mackay,AU,QL
MKZ,MKZ,Malacca,MKZ,MKZ,Malacca,MY,
MLA,MLA,Luqa International,MLA,MLA,Malta,MT,
MLB,MLB,Orlando Melbourne Intl,MLB,MLB,Melbourne,US,FL
MLC,MLC,McAlester Regional,MLC,MLC,McAlester,US,OK
MLD,MLD,Malad City,MLD,MLD,Malad City,US,ID
MLE,MLE,Velana International,MLE,MLE,Male,MV,
MLF,MLF,Milford Municipal,MLF,MLF,Milford,US,UT
MLG,MLG,Abdul Rachman Saleh,MLG,MLG,Malang,ID,
MLH,MLH,EuroAirport French FR,EAP,EAP,Basel/Mulhouse,FR,
MLI,MLI,Quad City Intl,MLI,MLI,Moline,US,IL
MLJ,MLJ,Baldwin County,MLJ,MLJ,Milledgeville,US,GA
MLK,MLK,Malta,MLK,MLK,Malta,US,MT
MLL,MLL,Don Hunter Sr.,MLL,MLL,Marshall,US,AK
MLM,MLM,F.J. Mujica Intl,MLM,MLM,Morelia,MX,
MLN,MLN,Melilla,MLN,MLN,Melilla,ES,
MLO,MLO,Milos,MLO,MLO,Milos,GR,
MLP,MLP,Malabang,MLP,MLP,Malabang,PH,
MLQ,MLQ,Malalaua,MLQ,MLQ,Malalaua,PG,
MLR,MLR,Millicent,MLR,MLR,Millicent,AU,SA
MLS,MLS,Frank Wiley Field,MLS,MLS,Miles City,US,MT
MLT,MLT,Millinocket Municipal,MLT,MLT,Millinocket,US,ME
MLU,MLU,Monroe Regional,MLU,MLU,Monroe,US,LA
MLV,MLV,Merluna,MLV,MLV,Merluna,AU,QL
MLW,MLW,Spriggs Payne,MLW,MLW,Monrovia,LR,
MLX,MLX,Erhac,MLX,MLX,Malatya,TR,
MLY,MLY,Manley Hot Springs,MLY,MLY,Manley Hot Springs,US,AK
MLZ,MLZ,Cerro Largo,MLZ,MLZ,Melo,UY,
MMB,MMB,Memanbetsu,MMB,MMB,Memanbetsu,JP,
MMC,MMC,Ciudad Mante,MMC,MMC,Ciudad Mante,MX,
MMD,MMD,Minamidaito,MMD,MMD,Minamidaito,JP,
MME,MME,Teesside International,MME,MME,Durham,GB,
MMF,MMF,Mamfe,MMF,MMF,Mamfe,CM,
MMG,MMG,Mount Magnet,MMG,MMG,Mount Magnet,AU,WA
MMH,MMH,Mammoth Yosemite,MMH,MMH,Mammoth Lakes,US,CA
MMI,MMI,McMinn County,MMI,MMI,Athens,US,TN
MMJ,MMJ,Matsumoto,MMJ,MMJ,Matsumoto,JP,
MMK,MMK,Murmansk,MMK,MMK,Murmansk,RU,
MML,MML,SW Minnesota Rgnl,MML,MML,Marshall,US,MN
MMM,MMM,Middlemount,MMM,MMM,Middlemount,AU,QL
MMN,MMN,Minute Man Airfield,MMN,MMN,Stow,US,MA
MMO,MMO,Maio Island,MMO,MMO,Maio Island,CV,
MMP,MMP,San Bernardo,MMP,MMP,Mompos,CO,
MMQ,MMQ,Mbala,MMQ,MMQ,Mbala,ZM,
MMS,MMS,Selfs,MMS,MMS,Marks,US,MS
MMT,MMT,McEntire JNGB,CAE,CAE,Columbia,US,SC
MMU,MMU,Morristown Municipal,MMU,MMU,Morristown,US,NJ
MMV,MMV,Mal Island,MMV,MMV,Mal Island,PG,
MMW,MMW,Moma,MMW,MMW,Moma,MZ,
MMX,MMX,Malmo Airport,MMA,MMA,Malmo,SE,
MMY,MMY,Miyako,MMY,MMY,Miyako,JP,
MMZ,MMZ,Maimanah,MMZ,MMZ,Maimanah,AF,
MNA,MNA,Melangguane,MNA,MNA,Melangguane,ID,
MNB,MNB,Muanda,MNB,MNB,Muanda,CD,
MNC,MNC,Nacala,MNC,MNC,Nacala,MZ,
MND,MND,Medina,MND,MND,Medina,CO,
MNE,MNE,Mungeranie,MNE,MNE,Mungeranie,AU,SA
MNF,MNF,Mana Island,MNF,MNF,Mana Island,FJ,
MNG,MNG,Maningrida,MNG,MNG,Maningrida,AU,NT
MNH,MNH,Musanaa,MNH,MNH,Musanaa,OM,
MNI,MNI,John A. Osborne,MNI,MNI,Montserrat,MS,
MNJ,MNJ,Mananjary,MNJ,MNJ,Mananjary,MG,
MNK,MNK,Maiana,MNK,MNK,Maiana,KI,
MNL,MNL,Ninoy Aquino Intl,MNL,MNL,Manila,PH,
MNM,MNM,Menominee-Marinette,MNM,MNM,Menominee,US,MI
MNN,MNN,Marion Municipal,MNN,MNN,Marion,US,OH
MNO,MNO,Manono,MNO,MNO,Manono,CD,
MNP,MNP,Maron Island,MNP,MNP,Maron Island,PG,
MNQ,MNQ,Monto,MNQ,MNQ,Monto,AU,QL
MNR,MNR,Mongu,MNR,MNR,Mongu,ZM,
MNS,MNS,Mansa,MNS,MNS,Mansa,ZM,
MNT,MNT,Al Wright,MNT,MNT,Minto,US,AK
MNU,MNU,Mawlamyine,MNU,MNU,Mawlamyine,MM,
MNV,MNV,Mount Valley,MNV,MNV,Mount Valley,AU,NT
MNW,MNW,MacDonald Downs,MNW,MNW,MacDonald Downs,AU,NT
MNX,MNX,Manicore,MNX,MNX,Manicore,BR,AM
MNY,MNY,Mono Island,MNY,MNY,Mono Island,SB,
MNZ,MNZ,Manassas Regional,MNZ,MNZ,Manassas,US,VA
MOA,MOA,Orestes Acosta,MOA,MOA,Moa,CU,
MOB,MOB,Mobile Regional,MOB,MOB,Mobile,US,AL
MOC,MOC,Mario Ribeiro,MOC,MOC,Montes Claros,BR,MG
MOD,MOD,Modesto City-County,MOD,MOD,Modesto,US,CA
MOE,MOE,Momeik,MOE,MOE,Momeik,MM,
MOF,MOF,Fransiskus X. Seda,MOF,MOF,Maumere,ID,
MOG,MOG,Mong Hsat,MOG,MOG,Mong Hsat,MM,
MOH,MOH,Morowali,MOH,MOH,Morowali,ID,
MOI,MOI,Nukuroa,MOI,MOI,Mitiaro Island,CK,
MOJ,MOJ,Moengo,MOJ,MOJ,Moengo,SR,
MOL,MOL,Aro,MOL,MOL,Molde,NO,
MOM,MOM,Letfotar,MOM,MOM,Moudjeria,MR,
MON,MON,Mount Cook Airport,MON,MON,Mount Cook,NZ,
MOO,MOO,Moomba,MOO,MOO,Moomba,AU,SA
MOP,MOP,Mount Pleasant Municipal,MOP,MOP,Mount Pleasant,US,MI
MOQ,MOQ,Morondava,MOQ,MOQ,Morondava,MG,
MOR,MOR,Moore-Murrell,MOR,MOR,Morristown,US,TN
MOS,MOS,Moses Point,MOS,MOS,Moses Point,US,AK
MOT,MOT,Minot International,MOT,MOT,Minot,US,ND
MOU,MOU,Mountain Village,MOU,MOU,Mountain Village,US,AK
MOV,MOV,Moranbah,MOV,MOV,Moranbah,AU,QL
MOX,MOX,Morris Municipal,MOX,MOX,Morris,US,MN
MOY,MOY,Monterrey,MOY,MOY,Monterrey,CO,
MOZ,MOZ,Temae,MOZ,MOZ,Moorea,PF,
MPA,MPA,Mpacha,MPA,MPA,Katima Mulilo,NA,
MPB,MPB,Miami Sea Plane Base,MIA,MIA,Miami,US,FL
MPD,MPD,Sindhri,MPD,MPD,Mirpur Khas,PK,
MPF,MPF,Mapoda,MPF,MPF,Mapoda,PG,
MPG,MPG,Makini,MPG,MPG,Makini,PG,
MPH,MPH,Godofredo P. Ramos,MPH,MPH,Caticlan,PH,
MPI,MPI,Mamitupo,MPI,MPI,Mamitupo,PA,
MPJ,MPJ,Petit Jean Park,MPJ,MPJ,Morrilton,US,AR
MPL,MPL,Mediterranee,MPL,MPL,Montpellier,FR,
MPM,MPM,Maputo International,MPM,MPM,Maputo,MZ,
MPN,MPN,Mount Pleasant RAF Station,MPN,MPN,Mount Pleasant,FK,
MPO,MPO,Pocono Mountains Muni,MPO,MPO,Mount Pocono,US,PA
MPP,MPP,Mulatupo,MPP,MPP,Mulatupo,PA,
MPQ,MPQ,Maan,MPQ,MPQ,Maan,JO,
MPR,MPR,McPherson,MPR,MPR,McPherson,US,KS
MPS,MPS,Mount Pleasant Regional,MPS,MPS,Mount Pleasant,US,TX
MPT,MPT,Maliana,MPT,MPT,Maliana,TL,
MPU,MPU,Mabua,MPU,MPU,Mabua,PG,
MPV,MPV,Edward F. Knapp State,MPV,MPV,Barre/Montpelier,US,VT
MPW,MPW,Mariupol International,MPW,MPW,Mariupol,UA,
MPX,MPX,Miyanmin,MPX,MPX,Miyanmin,PG,
MPY,MPY,Maripasoula,MPY,MPY,Maripasoula,GF,
MPZ,MPZ,Mount Pleasant Municipal,MPZ,MPZ,Mount Pleasant,US,IA
MQA,MQA,Mandora Station,MQA,MQA,Mandora Station,AU,WA
MQB,MQB,Macomb Municipal,MQB,MQB,Macomb,US,IL
MQC,MQC,Miquelon,MQC,MQC,Miquelon,PM,
MQD,MQD,Maquinchao,MQD,MQD,Maquinchao,AR,RN
MQE,MQE,Marqua,MQE,MQE,Marqua,AU,NT
MQF,MQF,Magnitogorsk,MQF,MQF,Magnitogorsk,RU,
MQG,MQG,Midgard,MQG,MQG,Midgard,NA,
MQH,MQH,Minacu,MQH,MQH,Minacu,BR,GO
MQJ,MQJ,Moma,MQJ,MQJ,Khonu,RU,
MQK,MQK,San Matias,MQK,MQK,San Matias,BO,
MQL,MQL,Mildura,MQL,MQL,Mildura,AU,VI
MQM,MQM,Mardin,MQM,MQM,Mardin,TR,
MQN,MQN,Rossvoll,MQN,MQN,Mo i Rana,NO,
MQO,MQO,Malam,MQO,MQO,Malam,PG,
MQP,MQP,Kruger Mpumalanga Intl,NLP,NLP,Nelspruit,ZA,
MQQ,MQQ,Moundou,MQQ,MQQ,Moundou,TD,
MQR,MQR,Mosquera,MQR,MQR,Mosquera,CO,
MQS,MQS,Mustique,MQS,MQS,Mustique,VC,
MQT,MQT,Sawyer International,MQT,MQT,Marquette,US,MI
MQU,MQU,Jose Celestino Mutis,MQU,MQU,Mariquita,CO,
MQV,MQV,Mostaganem,MQV,MQV,Mostaganem,DZ,
MQW,MQW,Telfair-Wheeler,MQW,MQW,McRae,US,GA
MQX,MQX,Alula Aba Nega,MQX,MQX,Mekele,ET,
MQY,MQY,Smyrna,MQY,MQY,Smyrna,US,TN
MQZ,MQZ,Margaret River,MQZ,MQZ,Margaret River,AU,WA
MRA,MRA,Misurata,MRA,MRA,Misurata,LY,
MRB,MRB,Eastern W.V. Regional,MRB,MRB,Martinsburg,US,WV
MRC,MRC,Maury County,MRC,MRC,Columbia/Mt Pleasant,US,TN
MRD,MRD,Alberto Carnevalli,MRD,MRD,Merida,VE,
MRE,MRE,Mara Serena,MRE,MRE,Maasai Mara,KE,
MRF,MRF,Marfa Municipal,MRF,MRF,Marfa,US,TX
MRG,MRG,Mareeba,MRG,MRG,Mareeba,AU,QL
MRH,MRH,May River,MRH,MRH,May River,PG,
MRI,MRI,Merrill Field,ANC,ANC,Anchorage,US,AK
MRJ,MRJ,Marcala,MRJ,MRJ,Marcala,HN,
MRK,MRK,Marco Island,MRK,MRK,Marco Island,US,FL
MRL,MRL,Miners Lake,MRL,MRL,Miners Lake,AU,QL
MRM,MRM,Manari,MRM,MRM,Manari,PG,
MRN,MRN,Foothills Regional,MRN,MRN,Morganton,US,NC
MRO,MRO,Masterton,MRO,MRO,Masterton,NZ,
MRP,MRP,Marla,MRP,MRP,Marla,AU,SA
MRQ,MRQ,Marinduque Island,MRQ,MRQ,Marinduque Island,PH,
MRR,MRR,J.M. Velasco Ibarra,MRR,MRR,Macara,EC,
MRS,MRS,Provence,MRS,MRS,Marseille,FR,
MRT,MRT,Moroak,MRT,MRT,Moroak,AU,NT
MRU,MRU,Sir S. Ramgoolam Intl,MRU,MRU,Mauritius,MU,
MRV,MRV,Mineralnye Vody,MRV,MRV,Mineralnye Vody,RU,
MRW,MRW,Lolland Falster,MRW,MRW,Maribo,DK,
MRX,MRX,Mahshahr,MRX,MRX,Bandar Mahshahr,IR,
MRY,MRY,Monterey Regional,MRY,MRY,Monterey/Carmel,US,CA
MRZ,MRZ,Moree,MRZ,MRZ,Moree,AU,NS
MSA,MSA,Muskrat Dam,MSA,MSA,Muskrat Dam,CA,ON
MSC,MSC,Falcon Field,PHX,PHX,Phoenix,US,AZ
MSD,MSD,Mount Pleasant,MSD,MSD,Mount Pleasant,US,UT
MSE,MSE,Kent International,MSE,MSE,Manston,GB,
MSF,MSF,Mount Swan,MSF,MSF,Mount Swan,AU,NT
MSG,MSG,Matsaile,MSG,MSG,Matsaile,LS,
MSH,MSH,Masirah Air Base,MSH,MSH,Masirah,OM,
MSJ,MSJ,Misawa,MSJ,MSJ,Misawa,JP,
MSL,MSL,Northwest Alabama Rgnl,MSL,MSL,Muscle Shoals/Florence,US,AL
MSM,MSM,Masi-Manimba,MSM,MSM,Masi-Manimba,CD,
MSN,MSN,Dane County Regional,MSN,MSN,Madison,US,WI
MSO,MSO,Missoula International,MSO,MSO,Missoula,US,MT
MSP,MSP,Minneapolis/St Paul International,MSP,MSP,Minneapolis/St Paul,US,MN
MSQ,MSQ,Minsk International,MSQ,MSQ,Minsk,BY,
MSR,MSR,Mus,MSR,MSR,Mus,TR,
MSS,MSS,Massena International,MSS,MSS,Massena,US,NY
MST,MST,Maastricht/Aachen,MST,MST,Maastricht,NL,
MSU,MSU,Moshoeshoe I Intl,MSU,MSU,Maseru,LS,
MSV,MSV,Sullivan County Intl,MSV,MSV,Monticello,US,NY
MSW,MSW,Massawa International,MSW,MSW,Massawa,ER,
MSX,MSX,Mossendjo,MSX,MSX,Mossendjo,CG,
MSY,MSY,Louis Armstrong Intl,MSY,MSY,New Orleans,US,LA
MSZ,MSZ,Yuri Gagarin,MSZ,MSZ,Namibe,AO,
MTA,MTA,Matamata,MTA,MTA,Matamata,NZ,
MTB,MTB,Montelibano,MTB,MTB,Montelibano,CO,
MTC,MTC,Selfridge ANGB,MTC,MTC,Mount Clemens,US,MI
MTD,MTD,Mount Sandford Station,MTD,MTD,Mount Sandford Station,AU,NT
MTE,MTE,Monte Alegre,MTE,MTE,Monte Alegre,BR,PA
MTF,MTF,Mizan Teferi,MTF,MTF,Mizan Teferi,ET,
MTG,MTG,Mato Grosso,MTG,MTG,Mato Grosso,BR,MT
MTH,MTH,The Florida Keys,MTH,MTH,Marathon,US,FL
MTI,MTI,Mosteiros,MTI,MTI,Mosteiros,CV,
MTJ,MTJ,Montrose Regional,MTJ,MTJ,Montrose,US,CO
MTK,MTK,Makin,MTK,MTK,Makin,KI,
MTL,MTL,Maitland,MTL,MTL,Maitland,AU,NS
MTM,MTM,Metlakatla Sea Plane Base,MTM,MTM,Metlakatla,US,AK
MTN,MTN,Martin State,BWI,BWI,Baltimore,US,MD
MTO,MTO,Coles County Memorial,MTO,MTO,Mattoon/Charleston,US,IL
MTP,MTP,Montauk,MTP,MTP,Montauk,US,NY
MTQ,MTQ,Mitchell,MTQ,MTQ,Mitchell,AU,QL
MTR,MTR,Los Garzones,MTR,MTR,Monteria,CO,
MTS,MTS,Matsapha International,MTS,MTS,Manzini,SZ,
MTT,MTT,Coatzacoalcos,MTT,MTT,Minatitlan,MX,
MTU,MTU,Montepuez,MTU,MTU,Montepuez,MZ,
MTV,MTV,Mota Lava Island,MTV,MTV,Mota Lava Island,VU,
MTW,MTW,Manitowoc County,MTW,MTW,Manitowoc,US,WI
MTX,MTX,Metro Field,FAI,FAI,Fairbanks,US,AK
MTY,MTY,Mariano Escobedo Intl,MTY,MTY,Monterrey,MX,
MTZ,MTZ,Bar Yehuda,MTZ,MTZ,Masada,IL,
MUA,MUA,Munda,MUA,MUA,Munda,SB,
MUB,MUB,Maun,MUB,MUB,Maun,BW,
MUC,MUC,Munich International,MUC,MUC,Munich,DE,
MUD,MUD,Mueda,MUD,MUD,Mueda,MZ,
MUE,MUE,Waimea-Kohala,MUE,MUE,Kamuela,US,HI
MUF,MUF,Muting,MUF,MUF,Muting,ID,
MUG,MUG,Mulege,MUG,MUG,Mulege,MX,
MUH,MUH,Mersa Matruh,MUH,MUH,Mersa Matruh,EG,
MUI,MUI,Muir AAF,MUI,MUI,Fort Indiantown Gap,US,PA
MUJ,MUJ,Mui,MUJ,MUJ,Mui,ET,
MUK,MUK,Mauke Island,MUK,MUK,Mauke Island,CK,
MUL,MUL,Spence,MGR,MGR,Moultrie,US,GA
MUN,MUN,Jose T. Monagas Intl,MUN,MUN,Maturin,VE,
MUO,MUO,Mountain Home AFB,MUO,MUO,Mountain Home,US,ID
MUP,MUP,Mulga Park,MUP,MUP,Mulga Park,AU,NT
MUQ,MUQ,Muccan Station,MUQ,MUQ,Muccan Station,AU,WA
MUR,MUR,Marudi,MUR,MUR,Marudi,MY,
MUS,MUS,Minamitorishima,MUS,MUS,Minamitorishima,JP,
MUT,MUT,Muscatine Municipal,MUT,MUT,Muscatine,US,IA
MUW,MUW,Ghriss,MUW,MUW,Mascara,DZ,
MUX,MUX,Multan International,MUX,MUX,Multan,PK,
MUY,MUY,Mouyondzi,MUY,MUY,Mouyondzi,CG,
MUZ,MUZ,Musoma,MUZ,MUZ,Musoma,TZ,
MVA,MVA,Reykjahlid,MVA,MVA,Myvatn,IS,
MVB,MVB,Mvengue,MVB,MVB,Franceville,GA,
MVC,MVC,Monroe County,MVC,MVC,Monroeville,US,AL
MVD,MVD,Carrasco,MVD,MVD,Montevideo,UY,
MVE,MVE,Chippewa County,MVE,MVE,Montevideo,US,MN
MVF,MVF,Dix-Sept Rosado,MVF,MVF,Mossoro,BR,RN
MVG,MVG,Mevang,MVG,MVG,Mevang,GA,
MVH,MVH,Macksville,MVH,MVH,Macksville,AU,NS
MVI,MVI,Manetai,MVI,MVI,Manetai,PG,
MVK,MVK,Mulka,MVK,MVK,Mulka,AU,SA
MVL,MVL,Morrisville/Stowe State,MVL,MVL,Morrisville/Stowe,US,VT
MVM,MVM,Kayenta,MVM,MVM,Kayenta,US,AZ
MVN,MVN,Mount Vernon,MVN,MVN,Mount Vernon,US,IL
MVO,MVO,Mongo,MVO,MVO,Mongo,TD,
MVP,MVP,Fabio A. Leon Bentley,MVP,MVP,Mitu,CO,
MVQ,MVQ,Mogilev,MVQ,MVQ,Mogilev,BY,
MVR,MVR,Salak,MVR,MVR,Maroua,CM,
MVS,MVS,Mucuri,MVS,MVS,Mucuri,BR,BA
MVT,MVT,Mataiva,MVT,MVT,Mataiva,PF,
MVU,MVU,Musgrave,MVU,MVU,Musgrave,AU,QL
MVV,MVV,Megeve,MVV,MVV,Megeve,FR,
MVW,MVW,Skagit Regional,MVW,MVW,Burlington/Mt Vernon,US,WA
MVX,MVX,Minvoul,MVX,MVX,Minvoul,GA,
MVY,MVY,Martha's Vineyard,MVY,MVY,Martha's Vineyard,US,MA
MVZ,MVZ,Masvingo,MVZ,MVZ,Masvingo,ZW,
MWA,MWA,Veterans Southern IL.,MWA,MWA,Marion,US,IL
MWB,MWB,Morawa,MWB,MWB,Morawa,AU,WA
MWC,MWC,Lawrence J Timmerman,MKE,MKE,Milwaukee,US,WI
MWD,MWD,Mianwali,MWD,MWD,Mianwali,PK,
MWE,MWE,Merowe,MWE,MWE,Merowe,SD,
MWF,MWF,Naone,MWF,MWF,Maewo Island,VU,
MWG,MWG,Marawaka,MWG,MWG,Marawaka,PG,
MWH,MWH,Grant County Intl,MWH,MWH,Moses Lake,US,WA
MWI,MWI,Maramuni,MWI,MWI,Maramuni,PG,
MWJ,MWJ,Matthews Ridge,MWJ,MWJ,Matthews Ridge,GY,
MWK,MWK,Tarempa,MWK,MWK,Matak,ID,
MWL,MWL,Mineral Wells,MWL,MWL,Mineral Wells,US,TX
MWM,MWM,Windom Municipal,MWM,MWM,Windom,US,MN
MWN,MWN,Mwadui,MWN,MWN,Mwadui,TZ,
MWO,MWO,Regional (Hook Field),MWO,MWO,Middletown,US,OH
MWQ,MWQ,Magway,MWQ,MWQ,Magway,MM,
MWR,MWR,Motswari,MWR,MWR,Motswari,ZA,
MWS,MWS,Bandara Khusus IMIP,MOH,MOH,Morowali,ID,
MWT,MWT,Moolawatana,MWT,MWT,Moolawatana,AU,SA
MWU,MWU,Mussau Island,MWU,MWU,Mussau Island,PG,
MWV,MWV,Mondulkiri,MWV,MWV,Mondulkiri,KH,
MWX,MWX,Muan International,MWX,MWX,Muan,KR,
MWY,MWY,Miranda Downs,MWY,MWY,Miranda Downs,AU,QL
MWZ,MWZ,Mwanza,MWZ,MWZ,Mwanza,TZ,
MXA,MXA,Manila Municipal,MXA,MXA,Manila,US,AR
MXB,MXB,Andi Jemma,MXB,MXB,Masamba,ID,
MXC,MXC,Monticello,MXC,MXC,Monticello,US,UT
MXD,MXD,Marion Downs,MXD,MXD,Marion Downs,AU,QL
MXE,MXE,Laurinburg/Maxton,MXE,MXE,Laurinburg/Maxton,US,NC
MXF,MXF,Maxwell AFB,MGM,MGM,Montgomery,US,AL
MXG,MXG,Marlborough,MXG,MXG,Marlborough,US,MA
MXH,MXH,Moro,MXH,MXH,Moro,PG,
MXI,MXI,Imelda R. Marcos,MXI,MXI,Mati,PH,
MXJ,MXJ,Minna,MXJ,MXJ,Minna,NG,
MXK,MXK,Mindik,MXK,MXK,Mindik,PG,
MXL,MXL,R.Sanchez Taboada Int,MXL,MXL,Mexicali,MX,
MXM,MXM,Morombe,MXM,MXM,Morombe,MG,
MXN,MXN,Ploujean,MXN,MXN,Morlaix,FR,
MXO,MXO,Monticello Regional,MXO,MXO,Monticello,US,IA
MXP,MXP,Malpensa,MIL,MIL,Milan,IT,
MXR,MXR,Myrhorod,MXR,MXR,Myrhorod,UA,
MXS,MXS,Maota,MXS,MXS,Maota,WS,
MXT,MXT,Maintirano,MXT,MXT,Maintirano,MG,
MXU,MXU,Mullewa,MXU,MXU,Mullewa,AU,WA
MXV,MXV,Moron,MXV,MXV,Moron,MN,
MXW,MXW,Mandalgovi,MXW,MXW,Mandalgovi,MN,
MXX,MXX,Siljan,MXX,MXX,Mora,SE,
MXY,MXY,McCarthy,MXY,MXY,McCarthy,US,AK
MXZ,MXZ,Meixian,MXZ,MXZ,Meixian,CN,
MYA,MYA,Moruya,MYA,MYA,Moruya,AU,NS
MYB,MYB,Mayumba,MYB,MYB,Mayumba,GA,
MYC,MYC,Mariscal Sucre,MYC,MYC,Maracay,VE,
MYD,MYD,Malindi,MYD,MYD,Malindi,KE,
MYE,MYE,Miyakejima,MYE,MYE,Miyakejima,JP,
MYF,MYF,Montgomery Field,SAN,SAN,San Diego,US,CA
MYG,MYG,Mayaguana,MYG,MYG,Mayaguana,BS,
MYH,MYH,Marble Canyon,MYH,MYH,Marble Canyon,US,AZ
MYI,MYI,Murray Island,MYI,MYI,Murray Island,AU,QL
MYJ,MYJ,Matsuyama,MYJ,MYJ,Matsuyama,JP,
MYK,MYK,May Creek,MYK,MYK,May Creek,US,AK
MYL,MYL,McCall Municipal,MYL,MYL,McCall,US,ID
MYM,MYM,Monkey Mountain,MYM,MYM,Monkey Mountain,GY,
MYN,MYN,Marib,MYN,MYN,Marib,YE,
MYO,MYO,Myroodah Station,MYO,MYO,Myroodah Station,AU,WA
MYP,MYP,Mary,MYP,MYP,Mary,TM,
MYQ,MYQ,Mandakalli,MYQ,MYQ,Mysore,IN,KA
MYR,MYR,Myrtle Beach International,MYR,MYR,Myrtle Beach,US,SC
MYT,MYT,Myitkyina,MYT,MYT,Myitkyina,MM,
MYU,MYU,Mekoryuk,MYU,MYU,Mekoryuk,US,AK
MYV,MYV,Yuba County,MYV,MYV,Marysville,US,CA
MYW,MYW,Mtwara,MYW,MYW,Mtwara,TZ,
MYX,MYX,Menyamya,MYX,MYX,Menyamya,PG,
MYY,MYY,Miri,MYY,MYY,Miri,MY,
MYZ,MYZ,Monkey Bay,MYZ,MYZ,Monkey Bay,MW,
MZA,MZA,Manuel Prado,MZA,MZA,Mazamari,PE,
MZB,MZB,Mocimboa da Praia,MZB,MZB,Mocimboa da Praia,MZ,
MZC,MZC,Mitzic,MZC,MZC,Mitzic,GA,
MZD,MZD,Mendez,MZD,MZD,Mendez,EC,
MZE,MZE,Manatee,MZE,MZE,Manatee,BZ,
MZF,MZF,Wild Coast Sun,MZF,MZF,Mzamba,ZA,
MZG,MZG,Penghu,MZG,MZG,Penghu,TW,
MZH,MZH,Merzifon,MZH,MZH,Amasya,TR,
MZI,MZI,Ambodedjo,MZI,MZI,Mopti,ML,
MZJ,MZJ,Pinal Airpark,MZJ,MZJ,Marana,US,AZ
MZK,MZK,Marakei,MZK,MZK,Marakei,KI,
MZL,MZL,La Nubia,MZL,MZL,Manizales,CO,
MZM,MZM,Metz-Frescaty,ETZ,ETZ,Metz/Nancy,FR,
MZN,MZN,Minj,MZN,MZN,Minj,PG,
MZO,MZO,Sierra Maestra,MZO,MZO,Manzanillo,CU,
MZP,MZP,Motueka,MZP,MZP,Motueka,NZ,
MZQ,MZQ,Mkuze,MZQ,MZQ,Mkuze,ZA,
MZR,MZR,Mazar-e Sharif,MZR,MZR,Mazar-e Sharif,AF,
MZT,MZT,Rafael Buelna Intl,MZT,MZT,Mazatlan,MX,
MZU,MZU,Muzaffarpur,MZU,MZU,Muzaffarpur,IN,BR
MZV,MZV,Mulu,MZV,MZV,Mulu,MY,
MZW,MZW,Mecheria,MZW,MZW,Mecheria,DZ,
MZX,MZX,Mena,MZX,MZX,Mena,ET,
MZY,MZY,Mossel Bay,MZY,MZY,Mossel Bay,ZA,
MZZ,MZZ,Marion Municipal,MZZ,MZZ,Marion,US,IN
NAA,NAA,Narrabri,NAA,NAA,Narrabri,AU,NS
NAC,NAC,Naracoorte,NAC,NAC,Naracoorte,AU,SA
NAE,NAE,Natitingou,NAE,NAE,Natitingou,BJ,
NAF,NAF,Banaina,NAF,NAF,Banaina,ID,
NAG,NAG,Dr.Ambedkar Intl,NAG,NAG,Nagpur,IN,MH
NAH,NAH,Naha,NAH,NAH,Tahuna,ID,
NAI,NAI,Annai,NAI,NAI,Annai,GY,
NAJ,NAJ,Nakchivan,NAJ,NAJ,Nakchivan,AZ,
NAK,NAK,Nakhon Ratchasima,NAK,NAK,Nakhon Ratchasima,TH,
NAL,NAL,Nalchik,NAL,NAL,Nalchik,RU,
NAM,NAM,Namlea,NAM,NAM,Namlea,ID,
NAN,NAN,Nadi International,NAN,NAN,Nadi,FJ,
NAO,NAO,Gaoping,NAO,NAO,Nanchong,CN,
NAP,NAP,Capodichino,NAP,NAP,Naples,IT,
NAQ,NAQ,Qaanaaq,NAQ,NAQ,Qaanaaq,GL,
NAR,NAR,Puerto Nare,NAR,NAR,Puerto Nare,CO,
NAS,NAS,Lynden Pindling Intl,NAS,NAS,Nassau,BS,
NAT,NAT,Natal International,NAT,NAT,Natal,BR,RN
NAU,NAU,Napuka,NAU,NAU,Napuka,PF,
NAV,NAV,Kapadokya,NAV,NAV,Nevsehir,TR,
NAW,NAW,Narathiwat,NAW,NAW,Narathiwat,TH,
NAY,NAY,Nanyuan,BJS,BJS,Beijing,CN,
NAZ,NAZ,Nana,NAZ,NAZ,Star Harbour,SB,
NBA,NBA,Nambaiyufa,NBA,NBA,Nambaiyufa,PG,
NBB,NBB,Barranco Minas,NBB,NBB,Barranco Minas,CO,
NBC,NBC,Begishevo,NBC,NBC,Nizhnekamsk,RU,
NBE,NBE,Hammamet,NBE,NBE,Enfidha,TN,
NBG,NBG,NAS JRB/A.Callender,MSY,MSY,New Orleans,US,LA
NBH,NBH,Nambucca,NBH,NBH,Nambucca,AU,NS
NBL,NBL,Wannukandi,NBL,NBL,San Blas,PA,
NBN,NBN,Annobon,NBN,NBN,Annobon,GQ,
